(0.200000) avg_accuracy=0.320000, f_measure:0.000000
(0.199500) avg_accuracy=0.320000, f_measure:0.000000
(0.199000) avg_accuracy=0.320000, f_measure:0.000000
(0.198500) avg_accuracy=0.320000, f_measure:0.000000
(0.198000) avg_accuracy=0.320000, f_measure:0.000000
(0.197500) avg_accuracy=0.320000, f_measure:0.000000
(0.197000) avg_accuracy=0.320000, f_measure:0.000000
(0.196500) avg_accuracy=0.320000, f_measure:0.000000
(0.196000) avg_accuracy=0.320000, f_measure:0.000000
(0.195500) avg_accuracy=0.320000, f_measure:0.000000
(0.195000) avg_accuracy=0.320000, f_measure:0.000000
(0.194500) avg_accuracy=0.320000, f_measure:0.000000
(0.194000) avg_accuracy=0.320000, f_measure:0.000000
(0.193500) avg_accuracy=0.320000, f_measure:0.000000
(0.193000) avg_accuracy=0.320000, f_measure:0.000000
(0.192500) avg_accuracy=0.320000, f_measure:0.000000
(0.192000) avg_accuracy=0.320000, f_measure:0.000000
(0.191500) avg_accuracy=0.320000, f_measure:0.000000
(0.191000) avg_accuracy=0.320000, f_measure:0.000000
(0.190500) avg_accuracy=0.320000, f_measure:0.000000
(0.190000) avg_accuracy=0.320000, f_measure:0.000000
(0.189500) avg_accuracy=0.320000, f_measure:0.000000
(0.189000) avg_accuracy=0.320000, f_measure:0.000000
(0.188500) avg_accuracy=0.320000, f_measure:0.000000
(0.188000) avg_accuracy=0.320000, f_measure:0.000000
(0.187500) avg_accuracy=0.320000, f_measure:0.000000
(0.187000) avg_accuracy=0.320000, f_measure:0.000000
(0.186500) avg_accuracy=0.320000, f_measure:0.000000
(0.186000) avg_accuracy=0.320000, f_measure:0.000000
(0.185500) avg_accuracy=0.320000, f_measure:0.000000
(0.185000) avg_accuracy=0.320000, f_measure:0.000000
(0.184500) avg_accuracy=0.320000, f_measure:0.000000
(0.184000) avg_accuracy=0.320000, f_measure:0.000000
(0.183500) avg_accuracy=0.320000, f_measure:0.000000
(0.183000) avg_accuracy=0.320000, f_measure:0.000000
(0.182500) avg_accuracy=0.320000, f_measure:0.000000
(0.182000) avg_accuracy=0.320000, f_measure:0.000000
(0.181500) avg_accuracy=0.320000, f_measure:0.000000
(0.181000) avg_accuracy=0.320000, f_measure:0.000000
(0.180500) avg_accuracy=0.320000, f_measure:0.000000
(0.180000) avg_accuracy=0.320000, f_measure:0.000000
(0.179500) avg_accuracy=0.320000, f_measure:0.000000
(0.179000) avg_accuracy=0.320000, f_measure:0.000000
(0.178500) avg_accuracy=0.320000, f_measure:0.000000
(0.178000) avg_accuracy=0.320000, f_measure:0.000000
(0.177500) avg_accuracy=0.320000, f_measure:0.000000
(0.177000) avg_accuracy=0.320000, f_measure:0.000000
(0.176500) avg_accuracy=0.320000, f_measure:0.000000
(0.176000) avg_accuracy=0.320000, f_measure:0.000000
(0.175500) avg_accuracy=0.320000, f_measure:0.000000
(0.175000) avg_accuracy=0.320000, f_measure:0.000000
(0.174500) avg_accuracy=0.320000, f_measure:0.000000
(0.174000) avg_accuracy=0.320000, f_measure:0.000000
(0.173500) avg_accuracy=0.320000, f_measure:0.000000
(0.173000) avg_accuracy=0.320000, f_measure:0.000000
(0.172500) avg_accuracy=0.320000, f_measure:0.000000
(0.172000) avg_accuracy=0.320000, f_measure:0.000000
(0.171500) avg_accuracy=0.320000, f_measure:0.000000
(0.171000) avg_accuracy=0.320000, f_measure:0.000000
(0.170500) avg_accuracy=0.320000, f_measure:0.000000
(0.170000) avg_accuracy=0.320000, f_measure:0.000000
(0.169500) avg_accuracy=0.320000, f_measure:0.000000
(0.169000) avg_accuracy=0.320000, f_measure:0.000000
(0.168500) avg_accuracy=0.320000, f_measure:0.000000
(0.168000) avg_accuracy=0.320000, f_measure:0.000000
(0.167500) avg_accuracy=0.320000, f_measure:0.000000
(0.167000) avg_accuracy=0.320000, f_measure:0.000000
(0.166500) avg_accuracy=0.320000, f_measure:0.000000
(0.166000) avg_accuracy=0.320000, f_measure:0.000000
(0.165500) avg_accuracy=0.320000, f_measure:0.000000
(0.165000) avg_accuracy=0.320000, f_measure:0.000000
(0.164500) avg_accuracy=0.320000, f_measure:0.000000
(0.164000) avg_accuracy=0.320000, f_measure:0.000000
(0.163500) avg_accuracy=0.320000, f_measure:0.000000
