(0.200000) avg_accuracy=0.100000, f_measure:0.000000
(0.199900) avg_accuracy=0.100000, f_measure:0.000000
(0.199800) avg_accuracy=0.100000, f_measure:0.000000
(0.199700) avg_accuracy=0.100000, f_measure:0.000000
(0.199600) avg_accuracy=0.100000, f_measure:0.000000
(0.199500) avg_accuracy=0.100000, f_measure:0.000000
(0.199400) avg_accuracy=0.100000, f_measure:0.000000
(0.199300) avg_accuracy=0.100000, f_measure:0.000000
(0.199200) avg_accuracy=0.100000, f_measure:0.000000
(0.199100) avg_accuracy=0.100000, f_measure:0.000000
(0.199000) avg_accuracy=0.100000, f_measure:0.000000
(0.198900) avg_accuracy=0.100000, f_measure:0.000000
(0.198800) avg_accuracy=0.100000, f_measure:0.000000
(0.198700) avg_accuracy=0.100000, f_measure:0.000000
(0.198600) avg_accuracy=0.100000, f_measure:0.000000
(0.198500) avg_accuracy=0.100000, f_measure:0.000000
(0.198400) avg_accuracy=0.100000, f_measure:0.000000
(0.198300) avg_accuracy=0.100000, f_measure:0.000000
(0.198200) avg_accuracy=0.100000, f_measure:0.000000
(0.198100) avg_accuracy=0.100000, f_measure:0.000000
(0.198000) avg_accuracy=0.100000, f_measure:0.000000
(0.197900) avg_accuracy=0.100000, f_measure:0.000000
(0.197800) avg_accuracy=0.100000, f_measure:0.000000
(0.197700) avg_accuracy=0.100000, f_measure:0.000000
(0.197600) avg_accuracy=0.100000, f_measure:0.000000
(0.197500) avg_accuracy=0.100000, f_measure:0.000000
(0.197400) avg_accuracy=0.100000, f_measure:0.000000
(0.197300) avg_accuracy=0.100000, f_measure:0.000000
(0.197200) avg_accuracy=0.100000, f_measure:0.000000
(0.197100) avg_accuracy=0.100000, f_measure:0.000000
(0.197000) avg_accuracy=0.100000, f_measure:0.000000
(0.196900) avg_accuracy=0.100000, f_measure:0.000000
(0.196800) avg_accuracy=0.100000, f_measure:0.000000
(0.196700) avg_accuracy=0.100000, f_measure:0.000000
(0.196600) avg_accuracy=0.100000, f_measure:0.000000
(0.196500) avg_accuracy=0.100000, f_measure:0.000000
(0.196400) avg_accuracy=0.100000, f_measure:0.000000
(0.196300) avg_accuracy=0.100000, f_measure:0.000000
(0.196200) avg_accuracy=0.100000, f_measure:0.000000
(0.196100) avg_accuracy=0.100000, f_measure:0.000000
(0.196000) avg_accuracy=0.100000, f_measure:0.000000
(0.195900) avg_accuracy=0.100000, f_measure:0.000000
(0.195800) avg_accuracy=0.100000, f_measure:0.000000
(0.195700) avg_accuracy=0.100000, f_measure:0.000000
(0.195600) avg_accuracy=0.100000, f_measure:0.000000
(0.195500) avg_accuracy=0.100000, f_measure:0.000000
(0.195400) avg_accuracy=0.100000, f_measure:0.000000
(0.195300) avg_accuracy=0.100000, f_measure:0.000000
(0.195200) avg_accuracy=0.100000, f_measure:0.000000
(0.195100) avg_accuracy=0.100000, f_measure:0.000000
(0.195000) avg_accuracy=0.100000, f_measure:0.000000
(0.194900) avg_accuracy=0.100000, f_measure:0.000000
(0.194800) avg_accuracy=0.100000, f_measure:0.000000
(0.194700) avg_accuracy=0.100000, f_measure:0.000000
(0.194600) avg_accuracy=0.100000, f_measure:0.000000
(0.194500) avg_accuracy=0.100000, f_measure:0.000000
(0.194400) avg_accuracy=0.100000, f_measure:0.000000
(0.194300) avg_accuracy=0.100000, f_measure:0.000000
(0.194200) avg_accuracy=0.100000, f_measure:0.000000
(0.194100) avg_accuracy=0.100000, f_measure:0.000000
(0.194000) avg_accuracy=0.100000, f_measure:0.000000
(0.193900) avg_accuracy=0.100000, f_measure:0.000000
(0.193800) avg_accuracy=0.100000, f_measure:0.000000
(0.193700) avg_accuracy=0.100000, f_measure:0.000000
(0.193600) avg_accuracy=0.100000, f_measure:0.000000
(0.193500) avg_accuracy=0.100000, f_measure:0.000000
(0.193400) avg_accuracy=0.100000, f_measure:0.000000
(0.193300) avg_accuracy=0.100000, f_measure:0.000000
(0.193200) avg_accuracy=0.100000, f_measure:0.000000
(0.193100) avg_accuracy=0.100000, f_measure:0.000000
(0.193000) avg_accuracy=0.100000, f_measure:0.000000
(0.192900) avg_accuracy=0.100000, f_measure:0.000000
